id,rdfs_label,name
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:1000413,endothelial cell of artery,endothelial cell of artery
CL:0000057,fibroblast,fibroblast
CL:0000057,fibroblast,fibroblast
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:1000413,endothelial cell of artery,endothelial cell of artery
CL:0000057,fibroblast,fibroblast
CL:0000057,fibroblast,fibroblast
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:1000413,endothelial cell of artery,endothelial cell of artery
CL:0000057,fibroblast,fibroblast
CL:0000057,fibroblast,fibroblast
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:1000413,endothelial cell of artery,endothelial cell of artery
CL:0000057,fibroblast,fibroblast
CL:0000057,fibroblast,fibroblast
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:1000413,endothelial cell of artery,endothelial cell of artery
CL:0000057,fibroblast,fibroblast
CL:0000057,fibroblast,fibroblast
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:1000413,endothelial cell of artery,endothelial cell of artery
CL:0000057,fibroblast,fibroblast
CL:0000057,fibroblast,fibroblast
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:1000413,endothelial cell of artery,endothelial cell of artery
CL:0000057,fibroblast,fibroblast
CL:0000057,fibroblast,fibroblast
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:1000413,endothelial cell of artery,endothelial cell of artery
CL:0000057,fibroblast,fibroblast
CL:0000057,fibroblast,fibroblast
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:1000413,endothelial cell of artery,endothelial cell of artery
CL:0000057,fibroblast,fibroblast
CL:0000057,fibroblast,fibroblast
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:1000413,endothelial cell of artery,endothelial cell of artery
CL:0000057,fibroblast,fibroblast
CL:0000057,fibroblast,fibroblast
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:1000413,endothelial cell of artery,endothelial cell of artery
CL:0000057,fibroblast,fibroblast
CL:0000057,fibroblast,fibroblast
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:1000413,endothelial cell of artery,endothelial cell of artery
CL:0000057,fibroblast,fibroblast
CL:0000057,fibroblast,fibroblast
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:1000413,endothelial cell of artery,endothelial cell of artery
CL:0000057,fibroblast,fibroblast
CL:0000057,fibroblast,fibroblast
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:1000413,endothelial cell of artery,endothelial cell of artery
CL:0000057,fibroblast,fibroblast
CL:0000057,fibroblast,fibroblast
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:1000413,endothelial cell of artery,endothelial cell of artery
CL:0000057,fibroblast,fibroblast
CL:0000057,fibroblast,fibroblast
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:1000413,endothelial cell of artery,endothelial cell of artery
CL:0000057,fibroblast,fibroblast
CL:0000057,fibroblast,fibroblast
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell
CL:1000413,endothelial cell of artery,endothelial cell of artery
CL:0000057,fibroblast,fibroblast
CL:0000057,fibroblast,fibroblast
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell
